Date,Time,Timezone,Open,High,Low,Close
2025-01-08,09:46:00,+05:30,23641.5,23646.25,23635.35,23637.4
2025-01-08,09:47:00,+05:30,23638.25,23649.9,23636.25,23641.55
2025-01-08,09:48:00,+05:30,23641.7,23642.5,23630.4,23636.65
2025-01-08,09:49:00,+05:30,23637.0,23640.05,23622.2,23626.4
2025-01-08,09:50:00,+05:30,23628.0,23634.9,23625.45,23631.25
2025-01-08,09:51:00,+05:30,23632.15,23640.7,23629.85,23631.75
2025-01-08,09:52:00,+05:30,23631.8,23635.15,23628.45,23631.85
2025-01-08,09:53:00,+05:30,23631.7,23659.4,23631.7,23659.4
2025-01-08,09:54:00,+05:30,23659.45,23681.2,23659.45,23677.85
2025-01-08,09:55:00,+05:30,23678.55,23691.15,23676.35,23689.8
2025-01-08,09:56:00,+05:30,23688.1,23688.35,23674.65,23674.65
2025-01-08,09:57:00,+05:30,23674.6,23674.6,23656.95,23657.75
2025-01-08,09:58:00,+05:30,23658.9,23662.3,23655.2,23662.1
2025-01-08,09:59:00,+05:30,23662.45,23673.3,23662.45,23670.05
2025-01-08,10:00:00,+05:30,23670.15,23672.25,23657.85,23659.65
2025-01-08,10:01:00,+05:30,23659.55,23678.2,23659.4,23669.95
2025-01-08,10:02:00,+05:30,23670.3,23680.55,23670.1,23671.75
2025-01-08,10:03:00,+05:30,23672.45,23674.2,23666.1,23668.5
2025-01-08,10:04:00,+05:30,23668.35,23676.55,23668.35,23676.05
2025-01-08,10:05:00,+05:30,23676.0,23685.0,23672.2,23677.1
2025-01-08,10:06:00,+05:30,23676.85,23676.85,23662.15,23664.4
2025-01-08,10:07:00,+05:30,23664.5,23670.15,23661.35,23669.1
2025-01-08,10:08:00,+05:30,23670.25,23671.25,23658.3,23659.95
2025-01-08,10:09:00,+05:30,23659.4,23659.4,23643.95,23643.95
2025-01-08,10:10:00,+05:30,23645.05,23651.95,23643.55,23650.25
2025-01-08,10:11:00,+05:30,23649.5,23654.1,23646.3,23648.25
2025-01-08,10:12:00,+05:30,23648.15,23654.2,23647.4,23648.95
2025-01-08,10:13:00,+05:30,23648.45,23656.7,23648.0,23655.35
2025-01-08,10:14:00,+05:30,23656.45,23669.55,23654.8,23669.2
